month,order_date,identifier,order_num,sub_order_num,quantity,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,end_customer_state,end_customer_pin,gstin,hsn_code,gst_amount,gst_rate,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-17,8icvx,759219884696,759219884696_1,1,Delivered,2023-06-17,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,601103,24ABVFA4063H1ZA,540710,15.38000000000000,5.00,323,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,323,307.6190476190476,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-03,8icvx,667089291096,667089291096_1,1,rto,2023-06-04,AFLOAT,Gujarat,383315,Punjab,123456,Punjab,141001,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,72,1.050000,68.5714285714286,12.342857142857142,290,276.1904761904762,HARYANA,2023,6,188451
2023-06-01,2023-06-12,8icvx,244580848987,244580848987_1,1,Delivered,2023-06-12,AFLOAT,Gujarat,383315,Chhattisgarh,494776,Chhattisgarh,494776,24ABVFA4063H1ZA,500720,13.90000000000000,5.00,292,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,292,278.0952380952381,CHHATTISGARH,2023,6,188451
2023-06-01,2023-06-23,8icvx,690651791268,690651791268_1,1,Shipped,2023-06-23,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,608704,24ABVFA4063H1ZA,540710,10.34000000000000,5.00,217,0.000000000000000000,0.00000000000000,0,73,1.050000,69.5238095238095,12.514285714285712,290,276.1904761904762,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-22,8icvx,211380792077,211380792077_1,1,Delivered,2023-06-22,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,520007,24ABVFA4063H1ZA,540710,16.38000000000000,5.00,344,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,344,327.6190476190476,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-01,8icvx,785309312221,785309312221_1,1,rto,2023-06-01,AFLOAT,Gujarat,383315,Andhra Pradesh,523264,Andhra Pradesh,518543,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-14,8icvx,808200797417,808200797417_1,1,Delivered,2023-06-15,AFLOAT,Gujarat,383315,Delhi,110032,Delhi,110032,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,DELHI,2023,6,188451
2023-06-01,2023-06-06,8icvx,532913097621,532913097621_1,1,Return,2023-06-06,AFLOAT,Gujarat,383315,Bihar,null,Bihar,811311,24ABVFA4063H1ZA,500720,13.76000000000000,5.00,289,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,289,275.2380952380952,BIHAR,2023,6,188451
2023-06-01,2023-06-03,8icvx,345551447603,345551447603_1,1,Delivered,2023-06-04,AFLOAT,Gujarat,383315,Telangana,509360,Telangana,509360,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TELANGANA,2023,6,188451
2023-06-01,2023-06-15,8icvx,281857755306,281857755306_1,1,Delivered,2023-06-15,AFLOAT,Gujarat,383315,Delhi,null,Delhi,110065,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,73,1.050000,69.5238095238095,12.514285714285712,291,277.1428571428571,DELHI,2023,6,188451
