month,order_date,identifier,order_num,sub_order_num,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,gstin,hsn_code,gst_amount,gst_rate,end_customer_pin,end_customer_state,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,quantity,penalty,cancel_return_date,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
null,2023-06-08,8icvx,716627037308,716627037308_1,Cancelled,2023-06-08,AFLOAT,Gujarat,383315,Telangana,505325,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,505325,Telangana,218,0.000000000000000000,0.00000000000000,0,79,1,null,2023-06-08,1.050000,75.2380952380952,13.542857142857143,297,282.8571428571428,TELANGANA,2023,6,188451
2023-05-01,2023-05-30,8icvx,246151029131,246151029131_1,rto,2023-05-31,AFLOAT,Gujarat,383315,Telangana,503302,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,503310,Telangana,293,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-04,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,TELANGANA,2023,6,188451
2023-05-01,2023-05-30,8icvx,656010131573,656010131573_1,rto,2023-05-30,AFLOAT,Gujarat,383315,Tamil Nadu,638111,24ABVFA4063H1ZA,540710,13.58000000000000,5.00,638701,Tamil Nadu,285,0.000000000000000000,0.00000000000000,63,0,1,0.0,2023-06-06,1.050000,60.0000000000000,10.799999999999999,285,271.4285714285714,TAMIL NADU,2023,6,188451
2023-05-01,2023-05-26,8icvx,955259425454,955259425454_1,rto,2023-05-26,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,500720,14.38000000000000,5.00,524152,Andhra Pradesh,302,0.000000000000000000,0.00000000000000,64,0,1,0.0,2023-06-10,1.050000,60.9523809523810,10.971428571428570,302,287.6190476190476,ANDHRA PRADESH,2023,6,188451
null,2023-06-17,8icvx,952748768522,952748768522_1,Cancelled,2023-06-17,AFLOAT,Gujarat,383315,Delhi,110091,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,110091,Delhi,218,0.000000000000000000,0.00000000000000,0,64,1,null,2023-06-17,1.050000,60.9523809523810,10.971428571428570,282,268.5714285714286,DELHI,2023,6,188451
2023-06-01,2023-06-14,8icvx,918817420563,918817420563_1,rto,2023-06-15,AFLOAT,Gujarat,383315,Andhra Pradesh,522306,24ABVFA4063H1ZA,500720,14.30000000000000,5.00,522306,Andhra Pradesh,300,0.000000000000000000,0.00000000000000,65,0,1,0.0,2023-06-19,1.050000,61.9047619047619,11.142857142857142,300,285.7142857142857,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-02,8icvx,521376355990,521376355990_1,rto,2023-06-03,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,600116,Tamil Nadu,273,0.000000000000000000,0.00000000000000,62,0,1,0.0,2023-06-14,1.050000,59.0476190476190,10.628571428571428,273,260.0000000000000,TAMIL NADU,2023,6,188451
2023-05-01,2023-05-22,8icvx,248495744358,248495744358_1,rto,2023-05-22,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,600052,Tamil Nadu,219,0.000000000000000000,0.00000000000000,0,65,1,0.0,2023-06-02,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-06,8icvx,437844356503,437844356503_1,rto,2023-06-06,AFLOAT,Gujarat,383315,Assam,788009,24ABVFA4063H1ZA,500720,14.62000000000000,5.00,788001,Assam,307,0.000000000000000000,0.00000000000000,102,0,1,0.0,2023-06-20,1.050000,97.1428571428571,17.485714285714284,307,292.3809523809524,ASSAM,2023,6,188451
2023-06-01,2023-06-22,8icvx,980312391062,980312391062_1,Return,2023-06-22,AFLOAT,Gujarat,383315,Andhra Pradesh,522614,24ABVFA4063H1ZA,540710,10.34000000000000,5.00,522614,Andhra Pradesh,217,0.000000000000000000,0.00000000000000,0,80,1,0.0,2023-06-28,1.050000,76.1904761904762,13.714285714285714,297,282.8571428571428,ANDHRA PRADESH,2023,6,188451
